Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Amit,Season,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,Sharks
37,268,Malaki,Food and Beverages,5000000,,3%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
37,269,nanoclean,Health and Fitness,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
38,270,DesmondJi,Sports,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
38,271,Cremeitalia,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
38,272,nawgati,Transportation,6700000,,3%,N,N,N,Y,N,N,N,Y,2,,,,Aman Gupta,,,,Amit Jain,
38,273,Swytchd,Transportation,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
39,274,GladFul,Food and Beverages,5000000,,3.50%,N,N,Y,Y,N,N,N,Y,2,,,Namita Thapar,Aman Gupta,,,,Amit Jain,
39,275,Pharmallama,Health and Fitness,200000000,,5%,Y,N,Y,Y,Y,N,N,Y,2,Anupam Mittal,,Namita Thapar,Aman Gupta,Peyush Bansal,,,Amit Jain,
39,276,CraveRajaFoods,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
39,277,VAPerfume,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
40,278,Hood,Social,6000000,,0.54%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
40,279,TwistingScoops,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
40,280,GROWiT,Agriculture,5000000,,1%,N,N,Y,N,Y,N,N,N,2,,,Namita Thapar,,Peyush Bansal,,,,
41,281,Makino,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
41,282,Trunome,Transportation,150000000,,2%,Y,N,N,Y,Y,Y,N,N,2,Anupam Mittal,,,Aman Gupta,Peyush Bansal,Vineeta Singh,,,
41,283,Wol3D,Technology,8000000,,2%,N,N,N,Y,N,N,N,N,2,,,,Aman Gupta,,,,,
41,284,What'sUpWellness,Food and Beverages,6000000,,4.76%,Y,N,N,Y,N,Y,N,N,2,Anupam Mittal,,,Aman Gupta,,Vineeta Singh,,,
